Episode no = 960; won: False; Q(s,a) = 64.64567237608092; reward = -466.0; and epsilon = 0.872, win percentage = 0.0, 2022-04-19 15:23:54
Episode no = 970; won: False; Q(s,a) = 64.53455704651229; reward = -475.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2022-04-19 15:24:19
Episode no = 980; won: False; Q(s,a) = 62.11073019145199; reward = -451.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2022-04-19 15:24:31
Episode no = 990; won: False; Q(s,a) = 51.556457387336195; reward = -403.0; and epsilon = 0.868, win percentage = 0.0, 2022-04-19 15:24:56
Episode no = 1000; won: False; Q(s,a) = 59.45305774515333; reward = -466.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2022-04-19 15:25:08
Episode no = 1010; won: False; Q(s,a) = 68.74751183748394; reward = -478.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2022-04-19 15:25:23
Episode no = 1020; won: False; Q(s,a) = 60.40655540204017; reward = -337.0; and epsilon = 0.864, win percentage = 0.0, 2022-04-19 15:25:41
Episode no = 1030; won: False; Q(s,a) = nan; reward = -454.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2022-04-19 15:25:50
Episode no = 1040; won: False; Q(s,a) = 69.18684300861166; reward = -480.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2022-04-19 15:26:07
Episode no = 1050; won: False; Q(s,a) = 58.37858932393385; reward = -463.0; and epsilon = 0.86, win percentage = 0.0, 2022-04-19 15:26:40
Episode no = 1060; won: False; Q(s,a) = 63.73841179377042; reward = -479.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2022-04-19 15:27:01
Episode no = 1070; won: False; Q(s,a) = 58.673664772884095; reward = -305.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2022-04-19 15:27:19
Episode no = 1080; won: False; Q(s,a) = 62.5805518026504; reward = -477.0; and epsilon = 0.856, win percentage = 0.0, 2022-04-19 15:27:41
Episode no = 1090; won: False; Q(s,a) = 59.69162365494879; reward = -398.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2022-04-19 15:28:03
Episode no = 1100; won: False; Q(s,a) = 68.08475165727259; reward = -430.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2022-04-19 15:28:13
Episode no = 1110; won: False; Q(s,a) = 70.02259815756491; reward = -428.0; and epsilon = 0.852, win percentage = 0.0, 2022-04-19 15:28:24
Episode no = 1120; won: False; Q(s,a) = 66.17212850818898; reward = -419.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2022-04-19 15:28:40
Episode no = 1130; won: False; Q(s,a) = 60.40529449984943; reward = -345.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2022-04-19 15:28:53
Episode no = 1140; won: False; Q(s,a) = 67.18614976048963; reward = -460.0; and epsilon = 0.848, win percentage = 0.0, 2022-04-19 15:29:23
Episode no = 1150; won: False; Q(s,a) = 64.16733050096413; reward = -425.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2022-04-19 15:29:48
Episode no = 1160; won: False; Q(s,a) = 63.51541803188537; reward = -503.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2022-04-19 15:30:15
Episode no = 1170; won: False; Q(s,a) = 68.0649497588596; reward = -435.0; and epsilon = 0.844, win percentage = 0.0, 2022-04-19 15:30:25
Episode no = 1180; won: False; Q(s,a) = 65.75663116882468; reward = -465.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2022-04-19 15:30:46
Episode no = 1190; won: False; Q(s,a) = 66.34583040494316; reward = -385.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2022-04-19 15:31:07
Episode no = 1200; won: False; Q(s,a) = 67.91135022441121; reward = -380.0; and epsilon = 0.84, win percentage = 0.0, 2022-04-19 15:31:35
Episode no = 1210; won: False; Q(s,a) = 74.285653690863; reward = -490.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2022-04-19 15:31:48
Episode no = 1220; won: False; Q(s,a) = 67.40614032020278; reward = -360.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2022-04-19 15:32:09
Episode no = 1230; won: False; Q(s,a) = 91.45427788646778; reward = -466.0; and epsilon = 0.836, win percentage = 0.0, 2022-04-19 15:32:36
Episode no = 1240; won: False; Q(s,a) = 68.18558904277499; reward = -469.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2022-04-19 15:33:05
Episode no = 1250; won: False; Q(s,a) = 76.38647851862973; reward = -443.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2022-04-19 15:33:21
Episode no = 1260; won: False; Q(s,a) = 71.20330199119583; reward = -393.0; and epsilon = 0.832, win percentage = 0.0, 2022-04-19 15:33:35
Episode no = 1270; won: False; Q(s,a) = 71.09189670184811; reward = -445.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2022-04-19 15:33:57
Episode no = 1280; won: False; Q(s,a) = 71.15680865661774; reward = -283.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2022-04-19 15:34:29
Episode no = 1290; won: False; Q(s,a) = 67.44041245490891; reward = -375.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2022-04-19 15:34:49
Episode no = 1300; won: False; Q(s,a) = 60.04399411353668; reward = -455.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2022-04-19 15:35:11
Episode no = 1310; won: False; Q(s,a) = 85.11816371690426; reward = -410.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2022-04-19 15:35:26
Episode no = 1320; won: False; Q(s,a) = 76.05321462249887; reward = -431.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2022-04-19 15:35:49
Episode no = 1330; won: False; Q(s,a) = 73.52787092409542; reward = -458.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2022-04-19 15:36:03
Episode no = 1340; won: False; Q(s,a) = 65.58931378173773; reward = -462.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2022-04-19 15:36:18
Episode no = 1350; won: False; Q(s,a) = 75.8717575624168; reward = -456.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2022-04-19 15:36:27
Episode no = 1360; won: False; Q(s,a) = 75.83196435605475; reward = -456.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2022-04-19 15:36:39
Episode no = 1370; won: False; Q(s,a) = 76.86703014838068; reward = -391.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2022-04-19 15:36:47
Episode no = 1380; won: False; Q(s,a) = 80.37205650807917; reward = -457.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2022-04-19 15:36:58
Episode no = 1390; won: False; Q(s,a) = 80.3959417346151; reward = -341.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2022-04-19 15:37:19
Episode no = 1400; won: False; Q(s,a) = 80.6736375593252; reward = -354.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2022-04-19 15:37:38
Episode no = 1410; won: False; Q(s,a) = 86.43022394712499; reward = -376.0; and epsilon = 0.812, win percentage = 0.0, 2022-04-19 15:37:54
Episode no = 1420; won: False; Q(s,a) = 79.63441114235772; reward = -445.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2022-04-19 15:38:12
Episode no = 1430; won: False; Q(s,a) = 82.6606582501134; reward = -399.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2022-04-19 15:38:23
Episode no = 1440; won: False; Q(s,a) = 87.10780126142568; reward = -502.0; and epsilon = 0.808, win percentage = 0.0, 2022-04-19 15:38:35
Episode no = 1450; won: False; Q(s,a) = 84.14811492816985; reward = -375.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2022-04-19 15:38:58
Episode no = 1460; won: False; Q(s,a) = 86.77559759236208; reward = -363.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2022-04-19 15:39:22
Episode no = 1470; won: False; Q(s,a) = 84.72549422204128; reward = -397.0; and epsilon = 0.804, win percentage = 0.0, 2022-04-19 15:39:38
Episode no = 1480; won: False; Q(s,a) = 78.38606616617567; reward = -344.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2022-04-19 15:39:53
Episode no = 1490; won: False; Q(s,a) = 79.69695595421067; reward = -387.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2022-04-19 15:40:09
Episode no = 1500; won: False; Q(s,a) = 80.49586016365517; reward = -357.0; and epsilon = 0.8, win percentage = 0.0, 2022-04-19 15:40:25
Episode no = 1510; won: False; Q(s,a) = 92.3256360837741; reward = -347.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2022-04-19 15:40:45
Episode no = 1520; won: False; Q(s,a) = 91.43810712051294; reward = -520.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2022-04-19 15:40:56
Episode no = 1530; won: False; Q(s,a) = 89.6735560594474; reward = -365.0; and epsilon = 0.796, win percentage = 0.0, 2022-04-19 15:41:04
Episode no = 1540; won: False; Q(s,a) = 83.51543422795704; reward = -473.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2022-04-19 15:41:18
Episode no = 1550; won: False; Q(s,a) = 90.76811744899112; reward = -445.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2022-04-19 15:41:37
Episode no = 1560; won: False; Q(s,a) = 93.32307232251766; reward = -443.0; and epsilon = 0.792, win percentage = 0.0, 2022-04-19 15:42:02
Episode no = 1570; won: False; Q(s,a) = 76.85185080685561; reward = -384.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2022-04-19 15:42:11
Episode no = 1580; won: False; Q(s,a) = 102.45743456378126; reward = -460.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2022-04-19 15:42:25
Episode no = 1590; won: False; Q(s,a) = nan; reward = -465.0; and epsilon = 0.788, win percentage = 0.0, 2022-04-19 15:42:37
Episode no = 1600; won: False; Q(s,a) = 91.966485705493; reward = -469.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2022-04-19 15:42:49
Episode no = 1610; won: False; Q(s,a) = 142.7174463825097; reward = -482.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2022-04-19 15:43:04
Episode no = 1620; won: False; Q(s,a) = 96.47529711247113; reward = -357.0; and epsilon = 0.784, win percentage = 0.0, 2022-04-19 15:43:26
Episode no = 1630; won: False; Q(s,a) = 96.91445807603127; reward = -370.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2022-04-19 15:43:45
Episode no = 1640; won: False; Q(s,a) = 96.61304278092969; reward = -461.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2022-04-19 15:44:06
